institution_id,institution_name,country,region,website,Agricultural Sciences,Arts and Humanities,Biology and Biochemistry,Biotechnology and Applied Microbiology,Cardiac and Cardiovascular Systems,Cell Biology,Chemical Engineering,Chemistry,Civil Engineering,Clinical Medicine,Computer Science,Economics and Business,Electrical and Electronic Engineering,Endocrinology and Metabolism,Energy and Fuels,Engineering,Environment/Ecology,Gastroenterology and Hepatology,Geosciences,Immunology,Infectious Diseases,Materials Science,Mathematics,Mechanical Engineering,Microbiology,Molecular Biology and Genetics,Nanoscience and Nanotechnology,Neuroscience and Behavior,Oncology,Pharmacology and Toxicology,Physics,Plant and Animal Science,Psychiatry/Psychology,"Public, Environmental and Occupational Health","Radiology, Nuclear Medicine and Medical Imaging",Social Sciences and Public Health,Space Science,Surgery
228778,University of Texas--Austin,United States,North America,http://www.utexas.edu,,13,40,,,,,8,,50,11,16,,,,8,19,,12,,,14,13,,31,57,,32,,16,9,29,30,,,15,10,
502957,University of Amsterdam,Netherlands,Europe,http://www.uva.nl/en/home,,18,86,,,,,85,,37,20,22,,,,,16,,,5,,,18,,22,14,,28,,60,30,34,6,,,4,11,
240444,University of Wisconsin--Madison,United States,North America,http://www.wisc.edu,4,20,20,,,,,11,,34,18,19,,,,19,11,,10,34,,25,14,,6,21,,19,,13,24,3,14,,,13,17,
501597,King Abdulaziz University,Saudi Arabia,Asia,http://www.kau.edu.sa/home_ENGLISH.aspx,25,,46,,,,,31,,28,47,,,,,,17,,22,,,57,,,,10,,,,30,49,29,,,,63,,
529569,Sorbonne Universite,France,Europe,https://www.sorbonne-universite.fr/en/university,50,8,9,,,,,13,,57,35,,,,,65,33,,13,19,,53,4,,22,3,,28,,60,15,127,41,,,31,14,
215293,University of Pittsburgh,United States,North America,http://www.pitt.edu/,,29,40,,,,,42,,15,52,55,,,,68,,,,22,,44,63,,11,57,,21,,9,57,,11,,,47,45,
204796,Ohio State University--Columbus,United States,North America,http://www.osu.edu,9,22,38,,,,,31,,23,34,22,,,,30,34,,24,41,,18,33,,31,34,,39,,5,31,11,32,,,20,14,
500951,University of Munich,Germany,Europe,http://www.en.uni-muenchen.de/index.html ,,3,2,,,,,7,,2,30,22,,,,,23,,47,2,,49,35,,22,41,,1,,3,6,50,3,,,20,6,
174066,University of Minnesota--Twin Cities,United States,North America,http://www.umn.edu,11,42,69,,,,,17,,30,32,17,,,,33,11,,33,22,,25,21,,31,26,,23,,7,41,9,17,,,26,33,
504785,Catholic University of Leuven,Belgium,Europe,http://www.kuleuven.be/english ,15,12,27,,,,,55,,5,13,10,,,,11,23,,107,19,,7,21,,7,14,,28,,8,40,50,1,,,12,26,
503151,Karolinska Institute,Sweden,Europe,http://ki.se/en/startpage,,,13,,,,,149,,1,,,,,,,117,,,1,,,,,7,14,,5,,33,,,18,,,102,,
500301,Monash University,Australia,Australia/New Zealand,http://www.monash.edu.au/ ,7,6,4,,,,,1,,4,5,1,,,,4,10,,4,1,,1,6,,5,8,,2,,1,6,6,4,,,4,2,
